"Arcane","Alchemy","Ritual","Artifact","Sorcery","Divining","Bestiary"
"Alchemy","Potion","Elixir","Transmute","Essence","Solvent","Mercury"
"Ritual","Chant","Incense","Candle","Sacrifice","Circle","Altar"
"Artifact","Amulet","Staff","Grimoire","Relic","Talisman"
"Sorcery","Spell","Hex","Conjure","Wizardry","Enchant","Mana"
"Divining","Tarot","Oracle","Crystal","Rune","Omen"
"Bestiary","Dragon","Phoenix","Griffon","Golem","Wraith"
"Potion","Brew","Vial","Flask","Cauldron","Herbal","Infuse"
"Elixir","Cure","Serum","Health","Longevity","Draft","Extract"
"Transmute","Lead","Gold","Change","Convert","Alloy","Fuse"
"Essence","Vapor","Core","Nature","Soul","Breath"
"Solvent","Acid","Dissolve","Liquid","Melter","Fluid","Thin"
"Mercury","Liquid","Quicksilver","Silver","Metal","Hydrargyrum","Shiny"
"Chant","Mantra","Vocal","Song","Hymn","Prayer","Verse"
"Incense","Smoke","Aroma","Burner","Scent","Myrrh","Frank"
"Candle","Wick","Wax","Flame","Taper","Light","Melt"
"Sacrifice","Offering","Blood","Tribute","Gifting","Loss","Alms"
"Circle","Boundary","Ring","Compass","Orbit","Halo","Sphere"
"Altar","Shrine","Stone","Table","Temple","Hallow","Plinth"
"Amulet","Charm","Necklace","Warding","Pendant","Luck","Guard"
"Staff","Rod","Wand","Cane","Scepter","Pole","Handle"
"Grimoire","Book","Tome","Page","Spells","Writing","Volume"
"Relic","Ancient","Bone","Antique","Fragment","Remnant","Legacy"
"Talisman","Sigil","Token","Badge","Mark","Symbol","Engrave"
"Scepter","Crown","Throne","Regal","Jewel","Royal","Mace"
"Spell","Cast","Incant","Magic","Curse","Jinx","Charm"
"Hex","Bane","Voodoo","Juju","Spook","Bewitch","Witch"
"Conjure","Summon","Invoke","Appear","Banish","Call","Presence"
"Wizardry","Sorcerer","Mage","Occult","Mystic","Craft","Art"
"Enchant","Glamour","Lure","Dazzle","Beguile","Trance","Captivate"
"Mana","Energy","Pool","Aura","Flow","Power","Source"
"Tarot","Card","Deck","Suit","Major","Minor","Reading"
"Oracle","Seer","Prophet","Speaker","Shrine","Wisdom"
"Crystal","Ball","Quartz","Lens","Prism","Refract","Clear"
"Vision","Dream","Sight","Future","Insight","Trance","Glimpse"
"Rune","Symbol","Stone","Etch","Alphabet","Cipher","Mark"
"Omen","Portent","Sign","Warning","Shadow","Bird","Harbinger"
"Dragon","Scale","Fire","Wyvern","Drake","Lair","Hoard"
"Phoenix","Ash","Firebird","Rebirth","Flame","Wing","Plume"
"Griffon","Beak","Eagle","Lion","Feather","Flight","Perch"
"Golem","Clay","Statue","Labor","Construct","Heavy","Build"
"Spirit","Ghost","Specter","Shade","Haunt","Ethereal","Mist"
"Wraith","Shadow","Cloak","Death","Scary","Terror","Dark"
